TradingSymbol,Date,EntryPrice,ExitPrice,Qty,ProfitLoss,Transaction,ExitType,Cumulative
BANKNIFTY21N0339600CE,03/11/2021,266.60 Time:12:01,80.00 Time:01:14,25,4665.00,SELL,SHORT_TARGET,2695.00
BANKNIFTY21N0339600CE,03/11/2021,196.65 Time:01:53,275.35 Time:01:55,25,-1967.50,SELL,SHORT_SL,727.50
BANKNIFTY21N0339900CE,02/11/2021,313.35 Time:09:17,210.90 Time:03:26,25,2561.25,SELL,SQUAREOFF,2561.25
BANKNIFTY21N0339900CE,03/11/2021,238.25 Time:09:17,333.55 Time:09:37,25,-2382.50,SELL,SHORT_SL,178.75
BANKNIFTY21N0340100PE,02/11/2021,323.95 Time:09:17,453.55 Time:09:49,25,-3240.00,SELL,SHORT_SL,-3240.00
BANKNIFTY21N0340100PE,02/11/2021,199.10 Time:02:53,278.70 Time:03:03,25,-1990.00,SELL,SHORT_SL,-5230.00
BANKNIFTY21N0340100PE,03/11/2021,205.00 Time:09:17,287.00 Time:11:34,25,-2050.00,SELL,SHORT_SL,-7280.00
BANKNIFTY21N0339800PE,02/11/2021,266.45 Time:09:50,79.95 Time:02:52,25,4662.50,SELL,SHORT_TARGET,4662.50
BANKNIFTY21N0339800PE,03/11/2021,215.25 Time:12:03,301.35 Time:01:04,25,-2152.50,SELL,SHORT_SL,2510.00
BANKNIFTY21N0339800PE,03/11/2021,144.85 Time:01:52,202.75 Time:02:17,25,-1447.50,SELL,SHORT_SL,1062.50
BANKNIFTY21N0340000CE,03/11/2021,258.45 Time:09:38,77.55 Time:12:00,25,4522.50,SELL,SHORT_TARGET,4522.50
BANKNIFTY21N0340000PE,03/11/2021,202.45 Time:11:35,283.45 Time:11:59,25,-2025.00,SELL,SHORT_SL,-2025.00
BANKNIFTY21N0339600PE,03/11/2021,212.10 Time:01:15,63.60 Time:01:51,25,3712.50,SELL,SHORT_TARGET,3712.50
BANKNIFTY21N0339600PE,03/11/2021,186.05 Time:02:29,260.45 Time:02:32,25,-1860.00,SELL,SHORT_SL,1852.50
BANKNIFTY21N0339600PE,03/11/2021,123.90 Time:02:43,173.50 Time:02:45,25,-1240.00,SELL,SHORT_SL,612.50
BANKNIFTY21N0339500CE,03/11/2021,157.20 Time:01:43,220.10 Time:01:46,25,-1572.50,SELL,SHORT_SL,-1572.50
BANKNIFTY21N0339500CE,03/11/2021,190.85 Time:01:47,267.15 Time:01:52,25,-1907.50,SELL,SHORT_SL,-3480.00
BANKNIFTY21N0339500CE,03/11/2021,177.10 Time:02:18,53.10 Time:02:46,25,3100.00,SELL,SHORT_TARGET,-380.00
